,age,ratings,weather,traffic,vehicle_condition,type_of_order,type_of_vehicle,multiple_deliveries,festival,city_type,time_taken,is_weekend,pickup_time_minutes,order_time_of_day,distance,distance_type
9278,25.0,5.0,fog,high,1,meal,motorcycle,1.0,no,metropolitian,32,0,10.0,afternoon,6.081389116676368,medium
9279,39.0,4.2,stormy,jam,2,meal,scooter,1.0,no,metropolitian,34,1,10.0,evening,20.857115324129595,very_long
9280,35.0,4.7,sunny,jam,2,snack,scooter,0.0,no,metropolitian,27,0,15.0,night,17.137482577838597,very_long
9281,34.0,4.5,stormy,jam,1,meal,motorcycle,1.0,no,metropolitian,44,1,5.0,evening,16.63579806090435,very_long
9282,36.0,4.6,fog,jam,2,snack,scooter,2.0,no,metropolitian,36,0,5.0,evening,9.219691659523848,medium
9283,24.0,4.9,sunny,jam,2,drinks,motorcycle,1.0,no,urban,19,0,10.0,night,4.5890994584359515,short
9284,37.0,4.9,fog,jam,1,snack,motorcycle,2.0,no,metropolitian,36,0,5.0,night,10.428262034058305,long
9285,28.0,4.6,fog,medium,2,meal,scooter,0.0,no,metropolitian,33,0,15.0,evening,12.071652559029582,long
9286,27.0,4.7,sunny,high,1,meal,scooter,1.0,no,metropolitian,12,1,5.0,afternoon,6.08119089136717,medium
9287,25.0,4.6,stormy,low,2,drinks,scooter,0.0,no,metropolitian,17,0,10.0,morning,1.529743511582863,short
9288,31.0,4.9,sunny,jam,1,meal,motorcycle,1.0,no,urban,17,0,15.0,night,11.919595217848318,long
9291,20.0,5.0,cloudy,medium,1,drinks,motorcycle,1.0,no,metropolitian,27,1,15.0,evening,19.76188040923094,very_long
9292,37.0,4.9,fog,jam,2,drinks,motorcycle,1.0,no,metropolitian,48,0,10.0,evening,13.406029476290724,long
9293,38.0,5.0,cloudy,medium,2,snack,scooter,2.0,no,metropolitian,36,0,10.0,afternoon,12.256321133212229,long
9294,20.0,5.0,windy,jam,0,snack,motorcycle,0.0,no,metropolitian,37,0,5.0,evening,12.421407858787804,long
9296,20.0,4.7,cloudy,low,2,buffet,scooter,0.0,no,metropolitian,23,1,10.0,night,10.60216485230212,long
9297,30.0,4.8,fog,jam,1,drinks,scooter,0.0,no,metropolitian,29,0,10.0,evening,7.772809995408273,medium
9298,36.0,4.3,stormy,low,0,buffet,motorcycle,1.0,no,metropolitian,33,0,10.0,morning,3.052701203227866,short
9299,33.0,4.9,fog,low,0,buffet,motorcycle,1.0,no,urban,24,0,10.0,morning,3.05993332724141,short
9301,25.0,4.8,sunny,jam,1,buffet,scooter,1.0,no,urban,11,0,15.0,night,10.60245939514964,long
9302,25.0,5.0,sandstorms,jam,2,drinks,motorcycle,1.0,no,metropolitian,29,1,10.0,evening,4.469203457950985,short
9305,35.0,4.1,cloudy,jam,1,snack,scooter,2.0,no,metropolitian,49,0,10.0,evening,20.25378851608599,very_long
9306,38.0,4.9,stormy,jam,0,snack,motorcycle,1.0,no,metropolitian,33,0,5.0,evening,4.674266565274251,short
9307,35.0,4.9,windy,high,0,meal,motorcycle,1.0,no,metropolitian,47,0,15.0,morning,1.554508559519504,short
9308,34.0,4.8,windy,high,0,meal,motorcycle,1.0,no,metropolitian,35,0,15.0,morning,3.1051449132268645,short
9310,34.0,4.6,cloudy,low,0,meal,motorcycle,1.0,no,urban,26,0,5.0,morning,3.1091344143312867,short
9312,20.0,4.7,windy,medium,0,snack,motorcycle,0.0,no,metropolitian,15,0,10.0,afternoon,7.567371172860539,medium
9313,27.0,4.8,cloudy,jam,0,drinks,motorcycle,1.0,yes,metropolitian,40,0,10.0,evening,12.09893438000095,long
9314,37.0,3.5,stormy,medium,1,meal,motorcycle,2.0,no,metropolitian,38,1,15.0,afternoon,20.206804295781904,very_long
9315,29.0,4.6,stormy,medium,2,meal,scooter,1.0,no,urban,18,1,10.0,afternoon,10.868240116750805,long
9316,30.0,4.6,windy,low,1,buffet,motorcycle,0.0,no,metropolitian,19,0,5.0,night,16.81997876421149,very_long
9317,26.0,4.8,windy,low,1,meal,scooter,0.0,no,urban,15,0,15.0,morning,3.1089751947120248,short
9318,37.0,4.9,cloudy,low,0,drinks,motorcycle,0.0,no,metropolitian,35,0,10.0,night,19.362530001074916,very_long
9319,39.0,4.7,windy,jam,0,meal,motorcycle,1.0,no,metropolitian,37,0,10.0,evening,20.850948424311873,very_long
9320,27.0,4.5,sandstorms,medium,0,buffet,motorcycle,0.0,no,metropolitian,10,0,5.0,afternoon,5.9687903256445685,medium
9321,21.0,4.8,sandstorms,low,2,snack,electric_scooter,1.0,no,metropolitian,18,0,10.0,night,10.571315446710582,long
9322,35.0,4.7,stormy,jam,0,drinks,motorcycle,0.0,no,metropolitian,44,0,10.0,night,9.315035594044879,medium
9323,31.0,4.7,windy,jam,0,snack,motorcycle,1.0,no,semi-urban,50,1,10.0,evening,16.368506664486496,very_long
9324,25.0,4.7,stormy,low,2,snack,scooter,0.0,no,metropolitian,19,0,5.0,morning,1.4922842147892668,short
9325,38.0,4.6,fog,jam,1,snack,motorcycle,1.0,no,metropolitian,31,0,5.0,evening,4.5890994584359515,short
9326,26.0,5.0,cloudy,low,0,meal,motorcycle,0.0,no,metropolitian,19,1,5.0,night,9.348134176984027,medium
9327,27.0,4.7,stormy,jam,2,drinks,motorcycle,1.0,no,metropolitian,27,1,15.0,evening,13.611544388190575,long
9328,39.0,4.9,cloudy,jam,1,snack,scooter,1.0,no,metropolitian,42,0,5.0,night,20.506685809982404,very_long
9329,31.0,4.5,stormy,high,2,buffet,motorcycle,0.0,no,metropolitian,25,0,10.0,morning,6.2104161583775,medium
9330,29.0,4.8,cloudy,low,1,snack,motorcycle,1.0,no,metropolitian,24,0,5.0,night,16.60246716832672,very_long
9331,25.0,5.0,sunny,low,1,drinks,motorcycle,1.0,no,metropolitian,21,1,5.0,night,4.528282400326012,short
9332,37.0,4.9,stormy,jam,2,buffet,scooter,1.0,no,urban,31,0,15.0,evening,4.657153007152837,short
9333,23.0,4.6,fog,jam,0,meal,motorcycle,2.0,no,metropolitian,41,0,10.0,evening,19.618918347479877,very_long
9334,39.0,4.6,cloudy,low,0,meal,motorcycle,1.0,no,metropolitian,26,0,5.0,morning,1.5204190072774333,short
9335,27.0,4.5,sandstorms,medium,1,drinks,motorcycle,0.0,no,urban,21,0,5.0,afternoon,7.60168152834193,medium
9336,34.0,4.9,sandstorms,medium,0,drinks,motorcycle,0.0,no,urban,26,0,10.0,afternoon,6.210030477135088,medium
9337,38.0,4.8,cloudy,medium,1,snack,motorcycle,1.0,no,metropolitian,17,0,15.0,evening,7.80255476855983,medium
9338,33.0,4.8,sunny,jam,0,snack,motorcycle,1.0,no,metropolitian,23,0,10.0,evening,7.719013857207678,medium
9339,23.0,4.8,sunny,low,1,drinks,scooter,1.0,no,metropolitian,22,1,15.0,morning,1.5545266759919338,short
9340,31.0,4.6,sunny,jam,1,snack,motorcycle,0.0,no,metropolitian,21,0,10.0,evening,7.546676276224336,medium
9342,30.0,4.7,sandstorms,low,2,drinks,scooter,1.0,no,metropolitian,25,0,5.0,morning,1.558114851289754,short
9343,39.0,4.9,windy,medium,0,buffet,motorcycle,1.0,no,metropolitian,30,0,10.0,afternoon,10.60245939514964,long
9344,36.0,4.5,sunny,medium,0,meal,motorcycle,1.0,no,metropolitian,25,0,10.0,afternoon,13.612451541411557,long
9345,28.0,4.7,sunny,low,0,snack,motorcycle,1.0,no,metropolitian,18,0,15.0,night,7.60161677107109,medium
9346,35.0,4.7,fog,medium,0,snack,motorcycle,1.0,no,metropolitian,26,1,15.0,evening,9.326616348118742,medium
9348,31.0,4.0,stormy,jam,0,drinks,motorcycle,2.0,no,metropolitian,47,1,15.0,evening,16.659917302375398,very_long
9349,30.0,4.1,fog,low,2,meal,motorcycle,2.0,no,metropolitian,39,1,5.0,night,13.68148555689137,long
9350,39.0,4.6,sunny,medium,1,drinks,motorcycle,1.0,no,metropolitian,15,1,15.0,afternoon,12.294187491090893,long
9351,38.0,4.9,cloudy,low,0,meal,motorcycle,0.0,no,metropolitian,28,0,15.0,morning,1.536829311966258,short
9352,38.0,4.9,stormy,high,2,drinks,scooter,0.0,no,metropolitian,28,0,5.0,afternoon,6.2179328802641525,medium
9353,36.0,4.7,sunny,high,0,drinks,motorcycle,0.0,no,metropolitian,22,0,15.0,morning,2.9797958851316784,short
9354,37.0,4.6,stormy,medium,0,drinks,motorcycle,1.0,no,metropolitian,25,0,5.0,evening,7.660348489150972,medium
9355,31.0,4.6,stormy,low,2,snack,scooter,1.0,no,urban,20,0,10.0,night,9.088084092164259,medium
9356,30.0,4.9,fog,jam,2,snack,motorcycle,2.0,yes,metropolitian,47,0,5.0,evening,11.90486548713048,long
9357,20.0,4.6,sunny,medium,2,meal,scooter,1.0,no,metropolitian,19,0,10.0,afternoon,5.860420473448054,medium
9358,32.0,4.0,sandstorms,high,2,buffet,motorcycle,1.0,no,metropolitian,34,1,10.0,morning,6.209089325963786,medium
9359,36.0,4.8,cloudy,medium,1,drinks,scooter,0.0,no,metropolitian,15,1,15.0,evening,7.448086298120235,medium
9360,34.0,3.7,stormy,medium,2,meal,scooter,1.0,no,metropolitian,38,0,15.0,evening,19.661310204458474,very_long
9361,22.0,4.8,windy,medium,1,meal,motorcycle,0.0,no,urban,24,1,5.0,evening,8.938176353487746,medium
9362,38.0,4.6,stormy,medium,2,buffet,scooter,0.0,no,metropolitian,26,0,5.0,afternoon,7.448412467877649,medium
9363,32.0,4.8,windy,low,2,snack,scooter,1.0,no,metropolitian,29,0,10.0,morning,1.4651613615197694,short
9364,28.0,4.8,windy,jam,2,buffet,electric_scooter,0.0,no,metropolitian,17,0,15.0,evening,7.450185408246092,medium
9365,23.0,5.0,windy,low,2,buffet,electric_scooter,0.0,no,urban,17,0,5.0,night,14.022253080995233,long
9366,39.0,4.0,windy,jam,0,buffet,motorcycle,1.0,no,metropolitian,44,0,15.0,night,9.075228438646324,medium
9367,29.0,4.7,stormy,medium,0,meal,motorcycle,1.0,no,metropolitian,19,0,15.0,evening,9.054052950169497,medium
9368,39.0,4.4,cloudy,medium,2,snack,electric_scooter,1.0,no,metropolitian,37,1,10.0,afternoon,10.866215152975023,long
9369,25.0,4.7,windy,medium,2,snack,motorcycle,1.0,no,metropolitian,27,0,10.0,evening,17.07395729139767,very_long
9370,32.0,4.2,sandstorms,low,0,buffet,motorcycle,1.0,no,metropolitian,31,0,15.0,morning,1.4901739564930154,short
9371,32.0,4.8,sandstorms,low,2,buffet,scooter,0.0,no,metropolitian,28,0,5.0,morning,3.064002956584147,short
9372,37.0,4.1,sandstorms,high,0,drinks,motorcycle,1.0,no,metropolitian,39,0,5.0,morning,6.117761953594232,medium
9373,38.0,4.7,stormy,jam,2,buffet,motorcycle,0.0,no,metropolitian,27,0,15.0,night,20.96865003561575,very_long
9374,27.0,4.6,fog,low,1,buffet,motorcycle,0.0,no,metropolitian,28,0,15.0,night,17.078934089494954,very_long
9375,26.0,4.9,windy,jam,0,meal,motorcycle,0.0,no,metropolitian,19,0,10.0,night,4.589265860691712,short
9376,26.0,4.6,stormy,low,1,snack,scooter,0.0,no,urban,16,0,15.0,night,20.831229799341045,very_long
9377,36.0,4.6,stormy,jam,0,drinks,motorcycle,1.0,no,metropolitian,37,0,15.0,evening,4.560740459631507,short
9378,25.0,4.5,windy,medium,2,buffet,motorcycle,1.0,no,metropolitian,20,0,10.0,afternoon,7.790439155314363,medium
9379,27.0,4.2,fog,jam,2,drinks,electric_scooter,1.0,no,metropolitian,34,1,15.0,evening,17.13737798601516,very_long
9380,36.0,4.6,cloudy,jam,0,snack,motorcycle,3.0,no,urban,50,0,15.0,evening,16.722543155307,very_long
9381,25.0,4.7,sandstorms,high,2,drinks,scooter,0.0,no,urban,17,1,15.0,morning,6.128363939648455,medium
9382,38.0,4.9,cloudy,medium,2,snack,electric_scooter,1.0,no,metropolitian,44,0,5.0,afternoon,19.395547662925235,very_long
9383,26.0,5.0,windy,jam,0,snack,motorcycle,0.0,no,metropolitian,25,0,10.0,evening,12.161009703058534,long
9384,32.0,4.7,sunny,high,0,drinks,motorcycle,1.0,no,metropolitian,20,0,5.0,afternoon,6.209485214483088,medium
9385,25.0,4.5,windy,jam,2,snack,motorcycle,1.0,no,metropolitian,18,0,15.0,evening,7.546876906900249,medium
9386,33.0,4.4,fog,low,0,meal,motorcycle,1.0,no,metropolitian,36,0,5.0,night,13.392795217611829,long
9387,31.0,4.7,stormy,jam,1,drinks,scooter,1.0,no,urban,28,0,10.0,night,7.790401204068506,medium
9390,35.0,4.7,sandstorms,low,2,drinks,electric_scooter,1.0,no,metropolitian,27,0,15.0,morning,1.536828545242727,short
9391,21.0,4.9,cloudy,jam,1,drinks,motorcycle,1.0,no,metropolitian,30,0,10.0,night,19.91296718928853,very_long
9393,24.0,4.7,fog,medium,0,meal,motorcycle,1.0,no,metropolitian,38,0,10.0,afternoon,10.58695309692162,long
9394,35.0,4.4,sandstorms,low,0,meal,motorcycle,0.0,no,metropolitian,26,0,10.0,morning,3.116148933802629,short
9395,22.0,4.0,sandstorms,jam,0,buffet,motorcycle,1.0,no,metropolitian,31,1,15.0,evening,16.63531520325545,very_long
9396,23.0,4.5,fog,jam,0,drinks,motorcycle,0.0,no,metropolitian,49,1,10.0,evening,12.419632405531052,long
9397,31.0,4.7,stormy,low,2,buffet,scooter,1.0,no,metropolitian,28,1,5.0,night,20.206804295781904,very_long
9398,35.0,4.6,cloudy,jam,0,buffet,motorcycle,0.0,no,urban,49,1,10.0,evening,19.975632175541914,very_long
9399,27.0,4.6,sunny,high,2,buffet,motorcycle,0.0,no,urban,19,1,5.0,morning,6.147073151032162,medium
9400,34.0,4.9,sunny,low,1,snack,scooter,1.0,no,urban,17,0,5.0,night,4.65694538594946,short
9401,34.0,3.1,sunny,low,0,drinks,motorcycle,1.0,no,metropolitian,32,1,10.0,night,16.825674553493343,very_long
9402,36.0,4.2,windy,medium,1,drinks,scooter,1.0,no,urban,36,0,15.0,afternoon,17.073813051007523,very_long
9404,33.0,4.9,fog,jam,0,buffet,motorcycle,1.0,no,urban,27,0,10.0,night,7.7626058902454,medium
9405,38.0,4.0,fog,jam,2,snack,scooter,1.0,no,metropolitian,32,0,15.0,evening,4.681604178292516,short
9406,21.0,4.8,windy,jam,2,drinks,motorcycle,1.0,no,urban,26,1,5.0,night,4.561267998364189,short
9407,38.0,4.3,windy,low,0,snack,motorcycle,1.0,no,urban,24,0,15.0,night,4.588360239493078,short
9409,22.0,4.9,windy,high,1,buffet,motorcycle,1.0,no,urban,11,0,10.0,morning,6.210618323092562,medium
9410,38.0,4.9,fog,high,1,drinks,motorcycle,1.0,no,metropolitian,35,1,10.0,morning,3.1161407812915183,short
9412,28.0,4.6,sandstorms,medium,1,meal,motorcycle,0.0,no,urban,19,0,10.0,afternoon,16.600361127912656,very_long
9413,24.0,4.9,cloudy,low,0,drinks,motorcycle,1.0,no,metropolitian,24,1,10.0,night,13.788169484007305,long
9414,35.0,4.6,sunny,jam,2,snack,motorcycle,1.0,no,metropolitian,21,1,5.0,evening,9.055525276451307,medium
9415,39.0,3.5,windy,jam,2,snack,electric_scooter,1.0,no,metropolitian,42,0,15.0,evening,16.63859018321037,very_long
9417,35.0,4.4,sandstorms,jam,2,meal,scooter,0.0,no,metropolitian,41,0,5.0,evening,19.886444745109216,very_long
9419,29.0,4.5,sandstorms,low,0,buffet,motorcycle,0.0,no,urban,25,1,10.0,morning,1.5294841760997977,short
9421,31.0,4.1,stormy,medium,2,buffet,electric_scooter,1.0,no,metropolitian,31,1,5.0,afternoon,6.21086415606354,medium
9422,29.0,2.7,sunny,low,2,buffet,motorcycle,1.0,no,urban,32,0,15.0,night,13.63122853449607,long
9423,25.0,3.1,sunny,low,1,drinks,scooter,1.0,no,metropolitian,36,1,5.0,night,13.61128304620412,long
9424,34.0,4.9,sandstorms,low,2,drinks,scooter,1.0,no,metropolitian,24,0,5.0,night,13.97205302455759,long
9425,26.0,5.0,cloudy,low,2,buffet,scooter,0.0,no,urban,12,1,10.0,morning,1.4897806686912982,short
9426,22.0,4.6,windy,jam,2,meal,electric_scooter,0.0,no,metropolitian,18,1,5.0,evening,12.417003842687146,long
9427,25.0,4.6,stormy,jam,2,buffet,scooter,1.0,no,metropolitian,23,0,10.0,night,9.348552276072713,medium
9428,24.0,5.0,windy,high,2,buffet,scooter,1.0,no,metropolitian,28,0,15.0,morning,2.9303402367141005,short
9430,23.0,3.3,sunny,low,2,buffet,scooter,1.0,no,metropolitian,31,0,5.0,night,13.762754362295334,long
9431,26.0,4.7,cloudy,low,0,snack,motorcycle,0.0,no,metropolitian,20,0,15.0,morning,3.058697313879674,short
9432,20.0,4.8,stormy,medium,2,snack,motorcycle,1.0,no,metropolitian,27,0,10.0,afternoon,5.958759869151131,medium
9433,36.0,4.5,stormy,medium,1,meal,motorcycle,0.0,no,metropolitian,29,1,15.0,afternoon,6.218134914911527,medium
9434,25.0,5.0,stormy,jam,1,buffet,scooter,1.0,no,metropolitian,23,1,15.0,evening,12.116946920849994,long
9436,31.0,4.9,sandstorms,jam,0,buffet,motorcycle,1.0,no,metropolitian,46,1,15.0,evening,4.658009301231346,short
9437,20.0,4.7,cloudy,jam,1,meal,motorcycle,1.0,yes,metropolitian,44,0,5.0,night,19.760743726313585,very_long
9438,22.0,4.6,sunny,medium,1,drinks,scooter,1.0,no,metropolitian,15,0,15.0,evening,10.641407763221139,long
9439,21.0,4.8,windy,medium,0,drinks,motorcycle,1.0,no,urban,29,0,15.0,evening,17.076407856166536,very_long
9440,28.0,4.7,fog,jam,0,drinks,motorcycle,0.0,no,semi-urban,49,0,5.0,evening,16.902909983695867,very_long
9441,34.0,4.8,sandstorms,high,1,buffet,motorcycle,1.0,no,metropolitian,25,0,5.0,morning,6.081596950437154,medium
9442,35.0,4.4,sandstorms,medium,0,snack,motorcycle,1.0,no,metropolitian,37,0,15.0,evening,9.327055824816654,medium
9443,25.0,4.7,sandstorms,low,1,snack,scooter,0.0,no,urban,15,0,10.0,night,7.325299567377126,medium
9444,25.0,4.9,stormy,jam,1,buffet,motorcycle,1.0,no,metropolitian,15,0,5.0,evening,17.07302628964209,very_long
9445,24.0,4.6,sandstorms,low,1,snack,scooter,0.0,no,urban,11,1,15.0,morning,3.02735037408095,short
9446,35.0,4.6,sunny,low,2,buffet,motorcycle,1.0,no,metropolitian,17,0,15.0,night,13.631339548300275,long
9447,31.0,4.5,sandstorms,jam,1,buffet,scooter,1.0,no,metropolitian,25,0,5.0,night,13.968842021961057,long
9448,30.0,4.9,windy,jam,0,meal,motorcycle,2.0,no,metropolitian,46,0,10.0,evening,14.022096082518878,long
9449,20.0,4.6,sandstorms,high,0,meal,motorcycle,0.0,no,urban,20,0,15.0,afternoon,5.968570257847648,medium
9452,30.0,4.9,windy,jam,2,drinks,scooter,1.0,no,metropolitian,26,0,15.0,evening,4.527973054243058,short
9453,21.0,5.0,stormy,low,2,meal,motorcycle,0.0,no,metropolitian,10,1,10.0,night,16.634870118211836,very_long
9454,27.0,4.7,stormy,jam,2,meal,scooter,1.0,no,urban,15,0,15.0,evening,12.160999124282084,long
9455,20.0,4.8,stormy,medium,1,drinks,motorcycle,1.0,no,metropolitian,24,0,15.0,afternoon,20.207797933358158,very_long
9456,27.0,4.8,sunny,medium,2,drinks,electric_scooter,0.0,no,urban,14,0,10.0,afternoon,12.464422665211348,long
9457,32.0,4.4,stormy,medium,0,snack,motorcycle,1.0,no,metropolitian,38,0,15.0,afternoon,6.127848457033505,medium
9458,24.0,4.7,sunny,high,1,drinks,motorcycle,0.0,no,metropolitian,10,0,10.0,morning,6.049956259946466,medium
9459,34.0,4.4,sunny,medium,0,drinks,motorcycle,0.0,no,metropolitian,35,0,5.0,afternoon,20.850948424311873,very_long
9460,31.0,4.3,sandstorms,low,0,snack,motorcycle,0.0,no,metropolitian,33,1,5.0,night,4.596439723177665,short
9461,34.0,4.7,sunny,medium,1,snack,motorcycle,1.0,no,metropolitian,28,0,5.0,evening,17.098593053938863,very_long
9462,31.0,4.7,sandstorms,low,1,snack,motorcycle,1.0,no,metropolitian,23,0,10.0,night,9.348298807291807,medium
9463,27.0,4.9,sandstorms,jam,0,buffet,motorcycle,0.0,no,metropolitian,16,1,15.0,evening,9.348112475389563,medium
9464,37.0,4.1,windy,low,0,meal,motorcycle,0.0,no,metropolitian,33,0,5.0,morning,1.5581322655568652,short
9466,29.0,4.9,windy,medium,1,drinks,motorcycle,1.0,no,metropolitian,27,0,15.0,afternoon,6.0588489445304,medium
9467,27.0,4.6,sunny,medium,2,meal,electric_scooter,1.0,no,metropolitian,16,0,15.0,afternoon,13.989146264477116,long
9468,27.0,4.8,sunny,jam,1,meal,motorcycle,0.0,no,metropolitian,18,0,5.0,evening,10.865409153294227,long
9469,23.0,4.8,sunny,low,1,drinks,motorcycle,0.0,no,metropolitian,17,0,5.0,morning,3.1161470193369545,short
9471,34.0,4.1,stormy,jam,2,drinks,electric_scooter,1.0,no,metropolitian,42,0,5.0,night,13.581198240269066,long
9472,38.0,4.8,sandstorms,low,2,drinks,motorcycle,0.0,no,urban,21,1,15.0,night,13.990151177257511,long
9473,36.0,4.9,sandstorms,low,2,buffet,electric_scooter,0.0,no,metropolitian,24,1,5.0,night,12.293502674441413,long
9474,30.0,5.0,sunny,low,0,drinks,motorcycle,1.0,no,metropolitian,23,1,5.0,night,4.528570754218756,short
9475,35.0,4.1,stormy,low,0,snack,motorcycle,0.0,no,metropolitian,23,0,10.0,morning,1.552331352726081,short
9476,36.0,4.9,stormy,high,0,buffet,motorcycle,0.0,no,metropolitian,35,0,10.0,morning,6.2086819840397665,medium
9477,30.0,4.5,stormy,medium,1,snack,scooter,1.0,no,metropolitian,27,0,15.0,evening,7.601876617115989,medium
9478,39.0,4.2,windy,high,1,meal,motorcycle,1.0,no,metropolitian,32,0,10.0,afternoon,6.242318682701243,medium
9479,24.0,4.4,fog,medium,1,drinks,scooter,1.0,no,metropolitian,39,0,15.0,evening,13.968842021961057,long
9480,29.0,4.1,fog,jam,2,snack,motorcycle,1.0,no,metropolitian,35,0,5.0,night,10.924508385005714,long
9481,30.0,4.3,windy,low,0,snack,motorcycle,1.0,no,metropolitian,29,0,10.0,morning,3.029512751162419,short
9482,36.0,4.4,windy,jam,1,snack,motorcycle,1.0,no,metropolitian,36,0,10.0,night,17.074904532035713,very_long
9483,36.0,4.7,windy,jam,0,snack,motorcycle,0.0,no,metropolitian,45,0,15.0,evening,4.544230975252655,short
9485,26.0,4.9,stormy,low,2,buffet,electric_scooter,0.0,no,metropolitian,12,0,10.0,night,20.887435504970277,very_long
9486,29.0,4.5,cloudy,medium,1,drinks,scooter,0.0,no,metropolitian,25,0,10.0,afternoon,20.18269322461139,very_long
9488,36.0,4.8,stormy,low,2,buffet,motorcycle,1.0,no,urban,19,0,10.0,night,10.564596934158217,long
9489,28.0,4.4,fog,jam,1,meal,scooter,1.0,no,metropolitian,40,0,5.0,night,19.65982489949014,very_long
9490,22.0,5.0,cloudy,low,1,snack,motorcycle,0.0,no,metropolitian,12,0,5.0,night,7.5735286916855555,medium
9491,33.0,4.6,sunny,high,1,meal,motorcycle,1.0,no,urban,23,0,5.0,afternoon,6.210098947886509,medium
9492,32.0,4.7,stormy,jam,1,drinks,motorcycle,1.0,no,urban,29,0,5.0,evening,7.460811932596954,medium
9493,35.0,3.7,stormy,jam,1,buffet,scooter,1.0,no,metropolitian,32,0,15.0,night,19.615926964388624,very_long
9494,32.0,4.9,windy,medium,1,buffet,scooter,1.0,no,metropolitian,22,0,5.0,afternoon,10.594021701600404,long
9495,25.0,5.0,cloudy,medium,2,buffet,scooter,0.0,no,urban,12,0,10.0,afternoon,9.121491544069729,medium
9496,31.0,4.6,stormy,jam,1,buffet,scooter,1.0,no,metropolitian,26,0,10.0,night,4.579040250041773,short
9497,34.0,4.3,cloudy,medium,0,buffet,motorcycle,0.0,no,metropolitian,33,1,5.0,afternoon,6.116971669682334,medium
9498,20.0,5.0,stormy,jam,0,snack,motorcycle,1.0,no,metropolitian,35,0,15.0,evening,4.610365144357058,short
9500,28.0,4.8,fog,jam,0,buffet,motorcycle,2.0,no,metropolitian,43,0,10.0,evening,13.82927367256702,long
9502,27.0,4.3,stormy,low,0,buffet,motorcycle,1.0,no,urban,24,0,5.0,night,4.65694538594946,short
9503,36.0,4.9,sunny,low,2,buffet,scooter,1.0,no,urban,20,0,5.0,night,20.96888932863528,very_long
9504,24.0,4.9,sandstorms,jam,1,drinks,scooter,0.0,no,metropolitian,25,0,10.0,night,4.657528074267875,short
9505,36.0,4.0,cloudy,low,0,snack,motorcycle,1.0,no,metropolitian,36,0,5.0,night,16.827472773146095,very_long
9506,20.0,4.9,sunny,jam,1,buffet,scooter,0.0,no,metropolitian,10,0,15.0,night,14.021750803377119,long
9508,32.0,3.8,sunny,jam,2,snack,scooter,1.0,no,metropolitian,32,0,15.0,evening,10.866215152975023,long
9509,39.0,4.8,sunny,medium,2,snack,motorcycle,1.0,no,metropolitian,17,0,15.0,afternoon,6.217689735000026,medium
9510,21.0,4.8,cloudy,low,0,meal,motorcycle,1.0,no,metropolitian,22,0,5.0,night,10.586595268060286,long
9511,20.0,4.7,fog,low,0,buffet,motorcycle,1.0,no,metropolitian,22,1,10.0,night,17.078706390631634,very_long
9512,28.0,4.6,stormy,low,0,meal,motorcycle,1.0,no,metropolitian,22,0,5.0,night,16.635770753608572,very_long
9513,21.0,4.7,fog,low,1,buffet,motorcycle,1.0,no,urban,15,1,5.0,night,8.938093974530164,medium
9514,25.0,4.6,sandstorms,low,2,buffet,motorcycle,1.0,no,urban,14,0,15.0,night,14.021750803377119,long
9515,33.0,5.0,cloudy,low,1,drinks,motorcycle,0.0,no,metropolitian,16,0,5.0,morning,3.1051103947027285,short
9517,37.0,4.6,sandstorms,jam,2,meal,scooter,1.0,no,metropolitian,27,1,5.0,evening,13.830779932927063,long
9518,27.0,4.9,sunny,medium,0,meal,motorcycle,1.0,no,urban,20,0,5.0,afternoon,4.65715978228187,short
9519,30.0,4.1,sandstorms,jam,0,meal,motorcycle,2.0,no,metropolitian,52,0,10.0,evening,16.659963190057415,very_long
9521,37.0,3.6,sandstorms,medium,1,snack,scooter,1.0,no,metropolitian,36,0,15.0,evening,13.969535082204027,long
9522,37.0,3.6,stormy,medium,1,meal,motorcycle,1.0,no,urban,34,1,10.0,evening,10.64228895373868,long
9523,26.0,4.7,sunny,low,2,buffet,electric_scooter,1.0,no,metropolitian,25,0,10.0,night,10.641604779432296,long
9524,32.0,4.6,sunny,high,1,drinks,motorcycle,1.0,no,metropolitian,22,0,15.0,morning,1.5292976945190186,short
9525,31.0,4.4,sandstorms,jam,1,meal,motorcycle,1.0,no,metropolitian,35,0,10.0,night,11.983431370375916,long
9527,24.0,4.6,sandstorms,low,1,meal,scooter,1.0,no,urban,17,0,15.0,night,20.86362506156607,very_long
9528,23.0,4.3,sandstorms,medium,0,drinks,motorcycle,1.0,no,metropolitian,35,0,15.0,evening,13.619596838647382,long
9529,26.0,4.9,fog,low,0,buffet,motorcycle,1.0,no,metropolitian,20,0,15.0,morning,3.0188764660307563,short
9530,26.0,4.9,fog,low,0,buffet,motorcycle,1.0,no,urban,16,0,15.0,morning,3.040665363317611,short
9533,28.0,4.9,sandstorms,jam,0,snack,motorcycle,1.0,no,metropolitian,31,1,10.0,night,4.560903158461034,short
9534,39.0,4.9,sunny,low,0,meal,motorcycle,1.0,no,metropolitian,23,0,5.0,morning,2.979626144829987,short
9536,22.0,5.0,stormy,high,0,buffet,motorcycle,1.0,no,urban,28,0,15.0,morning,1.4899271643865588,short
9537,33.0,4.9,sunny,medium,1,drinks,scooter,0.0,no,metropolitian,25,0,10.0,afternoon,13.762097103297643,long
